,subject,age,gender,experience,count_trial_sequence,road_nr,init_speed,answer,change,error,correct_answer,number_presses,response_time,accuracy
0,1,38,Male,Yes,0,7,0.8,1.0,0.2,0.0,1,3,8932.0,1.0
1,1,38,Male,Yes,1,6,1.2,1.0,-0.2,0.0,1,5,13514.0,1.0
2,1,38,Male,Yes,2,11,1.2,1.2,0.0,0.2,0,6,16099.0,0.6667
3,1,38,Male,Yes,3,5,0.8,0.8,0.0,0.2,0,4,13310.0,0.5
4,1,38,Male,Yes,4,8,1.2,1.2,0.0,0.2,0,6,17104.0,0.4
5,1,38,Male,Yes,5,2,1.2,1.0,-0.2,0.0,1,5,16815.0,0.5
6,1,38,Male,Yes,6,4,1.0,1.0,0.0,0.0,1,2,8726.0,0.5714
7,1,38,Male,Yes,7,10,0.8,1.0,0.2,0.0,1,3,10966.0,0.625
8,1,38,Male,Yes,8,9,1.0,1.2,0.2,0.2,0,7,37653.0,0.5556
9,1,38,Male,Yes,9,3,1.2,1.4,0.2,0.4,0,7,32602.0,0.5
10,1,38,Male,Yes,10,1,0.8,1.2,0.4,0.2,0,2,10107.0,0.4545
11,2,38,Male,Yes,0,7,1.2,1.2,0.0,0.2,0,4,42103.0,0.0
12,2,38,Male,Yes,1,6,1.0,1.2,0.2,0.2,0,5,28092.0,0.0
13,2,38,Male,Yes,2,1,1.2,1.4,0.2,0.4,0,5,27964.0,0.0
14,2,38,Male,Yes,3,4,0.8,1.0,0.2,0.0,1,5,27373.0,0.25
15,2,38,Male,Yes,4,11,0.8,0.8,0.0,0.2,0,4,37874.0,0.2
16,2,38,Male,Yes,5,5,1.0,1.2,0.2,0.2,0,5,24329.0,0.1667
17,2,38,Male,Yes,6,2,1.2,1.2,0.0,0.2,0,6,29168.0,0.1429
18,2,38,Male,Yes,7,9,0.8,1.2,0.4,0.2,0,2,23156.0,0.125
19,2,38,Male,Yes,8,3,1.2,1.6,0.4,0.6,0,4,36660.0,0.1111
20,2,38,Male,Yes,9,10,1.0,1.0,0.0,0.0,1,4,44901.0,0.2
21,2,38,Male,Yes,10,8,0.8,1.2,0.4,0.2,0,2,25812.0,0.1818
22,3,58,Male,Yes,0,11,1.0,0.8,-0.2,0.2,0,7,47198.0,0.0
23,3,58,Male,Yes,1,6,0.8,1.2,0.4,0.2,0,4,44571.0,0.0
24,3,58,Male,Yes,2,7,0.8,1.2,0.4,0.2,0,2,29445.0,0.0
25,3,58,Male,Yes,3,9,1.2,1.4,0.2,0.4,0,3,26657.0,0.0
26,3,58,Male,Yes,4,4,1.2,1.0,-0.2,0.0,1,5,28952.0,0.2
27,3,58,Male,Yes,5,5,1.2,1.2,0.0,0.2,0,4,17764.0,0.1667
28,3,58,Male,Yes,6,2,1.0,1.2,0.2,0.2,0,3,29452.0,0.1429
29,3,58,Male,Yes,7,1,1.0,1.4,0.4,0.4,0,4,35035.0,0.125
30,3,58,Male,Yes,8,8,1.2,1.6,0.4,0.6,0,2,22452.0,0.1111
31,3,58,Male,Yes,9,3,1.2,1.6,0.4,0.6,0,4,41087.0,0.1
32,3,58,Male,Yes,10,10,0.8,1.0,0.2,0.0,1,3,14950.0,0.1818
33,4,34,Female,Yes,0,7,1.0,1.4,0.4,0.4,0,4,67671.0,0.0
34,4,34,Female,Yes,1,5,1.0,1.2,0.2,0.2,0,1,14240.0,0.0
35,4,34,Female,Yes,2,2,1.2,1.0,-0.2,0.0,1,3,31841.0,0.3333
36,4,34,Female,Yes,3,6,0.8,1.2,0.4,0.2,0,2,30340.0,0.25
37,4,34,Female,Yes,4,9,0.8,1.0,0.2,0.0,1,3,38015.0,0.4
38,4,34,Female,Yes,5,3,0.8,1.2,0.4,0.2,0,2,40265.0,0.3333
39,4,34,Female,Yes,6,4,0.8,1.0,0.2,0.0,1,1,16656.0,0.4286
40,4,34,Female,Yes,7,8,1.0,1.2,0.2,0.2,0,3,34607.0,0.375
41,4,34,Female,Yes,8,1,1.0,0.8,-0.2,0.2,0,3,38791.0,0.3333
42,4,34,Female,Yes,9,10,1.0,0.8,-0.2,0.2,0,3,24767.0,0.3
